,situacao,anoConclusaoEnsinoMedio,chIntegralizadaMatriculada,chintegralizadaACE,chintegralizadaAF,chintegralizadaCF,chintegralizadaObrigatoria,chintegralizadaOptativa,chintegralizadaTotal,fracaoChIntegralizadaTotal,cidade,formaIngInstituicao,ira,sexo,tempoUniversidade,Cancelado,Reprovado por frequência,Reprovado por nota,DEC013_nota,DEE341_nota,DEE346_nota,DEE374_nota,DEE375_nota,DEC008_nota,DEC012_nota,DEC219_nota,DEE238_nota,DEE338_nota,DEE342_nota,DEE344_nota,DEE345_nota,DEC009_nota,DEC014_nota,DEC220_nota,DEE239_nota,DEE347_nota,DEE349_nota,DEE351_nota,DEE358_nota,DEE245_nota,DEE352_nota,DEE359_nota,DEE360_nota,DEC013_freq,DEE341_freq,DEE346_freq,DEE374_freq,DEE375_freq,DEC008_freq,DEC012_freq,DEC219_freq,DEE238_freq,DEE338_freq,DEE342_freq,DEE344_freq,DEE345_freq,DEC009_freq,DEC014_freq,DEC220_freq,DEE239_freq,DEE347_freq,DEE349_freq,DEE351_freq,DEE358_freq,DEE245_freq,DEE352_freq,DEE359_freq,DEE360_freq
33,0,2019,0,0,0,0,0,0,0,0.0,Maripá,SISU,0.0284,1,2.0,0.0,6.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,60.0,24.0,54.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,0,2022,465,0,0,0,135,0,135,4.2,Curitiba,SISU,0.4847,0,2.0,0.0,0.0,3.0,59.0,32.0,98.0,4.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,100.0,75.0,97.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,0,2016,3425,75,335,0,2565,90,2990,93.0,Palotina,SISU,0.7199,0,14.0,7.0,3.0,6.0,77.0,0.0,81.0,97.0,70.0,40.0,87.0,0.0,72.0,61.0,72.0,0.0,80.0,50.0,72.0,0.0,36.333333333333336,86.0,85.0,87.0,70.0,65.0,80.0,0.0,44.0,88.0,0.0,95.0,88.0,97.0,50.0,96.0,0.0,100.0,91.0,93.0,0.0,87.0,80.0,88.0,0.0,94.0,91.0,96.0,94.0,91.0,94.0,93.0,0.0,63.333333333333336
38,0,2022,270,0,0,0,0,0,0,0.0,Palotina,Vestibular,0.1442,0,2.0,0.0,4.0,2.0,14.0,13.0,44.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,74.0,87.0,87.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,1,2018,144,0,0,0,144,0,144,4.4,Maripá,Vestibular,0.2907,0,6.0,0.0,2.0,6.0,65.0,4.5,4.5,33.0,8.0,0.0,98.0,0.0,0.0,7.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,30.0,0.0,0.0,100.0,42.0,42.0,100.0,82.0,0.0,100.0,0.0,68.0,72.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,0.0,0.0,0.0,95.0,0.0,0.0
40,0,2017,2625,0,0,0,2370,90,2460,76.5,Maripá,Vestibular,0.741,0,12.0,1.0,1.0,2.0,70.0,0.0,77.0,70.0,71.0,70.0,71.0,0.0,38.5,53.0,85.0,0.0,100.0,80.0,79.0,0.0,65.0,75.0,74.0,80.0,80.0,71.0,75.0,0.0,71.0,94.0,0.0,98.0,100.0,82.0,83.0,85.0,0.0,70.75,93.0,95.0,0.0,100.0,87.0,100.0,0.0,100.0,100.0,96.0,94.0,95.0,94.0,100.0,0.0,95.0
41,0,2021,900,0,0,0,615,0,615,19.1,Palotina,Vestibular,0.6154,0,4.0,0.0,1.0,3.0,65.0,81.0,67.0,50.0,64.0,0.0,80.0,0.0,4.5,17.5,50.0,52.0,7.5,70.0,70.0,0.0,0.0,0.0,95.0,70.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,0.0,50.0,50.0,100.0,100.0,33.5,87.0,100.0,0.0,0.0,0.0,100.0,94.0,0.0,0.0,0.0,0.0,0.0
42,0,2019,2511,120,0,0,1935,90,2025,63.0,Palotina,SISU,0.7809,0,8.0,2.0,3.0,0.0,89.0,0.0,93.0,63.0,90.0,0.0,90.0,0.0,81.0,100.0,90.0,82.0,70.0,0.0,85.0,0.0,52.0,80.0,80.0,78.0,90.0,84.0,82.0,0.0,0.0,100.0,0.0,100.0,100.0,90.0,0.0,100.0,0.0,100.0,100.0,97.0,100.0,80.0,0.0,100.0,0.0,100.0,100.0,100.0,100.0,90.0,97.0,90.0,0.0,0.0
43,1,0,234,0,0,0,234,0,234,7.2,Palotina,SISU,0.2592,0,7.0,0.0,6.0,2.0,55.5,20.0,20.0,28.0,81.0,0.0,93.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,70.5,78.0,78.0,100.0,75.0,0.0,85.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,0.0,0.0,0.0,42.0,0.0,0.0
44,0,2022,705,0,0,0,435,0,435,13.5,Assis Chateaubriand,Vestibular,0.6509,0,4.0,0.0,2.0,1.0,89.0,93.0,82.0,70.0,53.0,0.0,0.0,0.0,4.0,11.5,72.0,71.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,94.0,94.0,97.0,84.0,0.0,33.5,0.0,35.0,40.0,84.0,87.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,1,2019,0,0,0,0,0,0,0,0.0,Palotina,Vestibular,0.02,0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,0,2021,510,0,0,0,180,0,180,5.6,Jesuítas,Vestibular,0.5579,0,2.0,0.0,0.0,2.0,38.0,90.0,78.0,5.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,100.0,97.0,90.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,0,2022,555,0,0,0,225,0,225,7.0,Francisco Alves,Vestibular,0.6032,0,2.0,0.0,0.0,1.0,56.0,83.0,86.0,12.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,0,2015,2520,75,0,0,2040,90,2130,66.3,Palotina,SISU,0.8055,0,10.0,1.0,0.0,1.0,86.0,0.0,91.0,72.0,84.0,0.0,100.0,0.0,56.5,70.0,71.0,0.0,93.0,0.0,98.0,0.0,71.0,78.0,88.0,83.0,97.0,87.0,85.0,96.0,84.0,100.0,0.0,100.0,100.0,100.0,0.0,100.0,0.0,100.0,97.0,97.0,0.0,94.0,0.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
